Kraj,Rozloha,Pocet obyvatel,Krajske mesto,Pocet obyvat krajskeho mesta,Pocet obci,Pocet mest
Praha,496.1,1267449,Praha,1267449.0,1,1
Stredocesky,11016.1,1326876,,,1145,83
Jihocesky,10058.0,637834,Ceske Budejovice,93513.0,623,54
Plzensky,7561.0,576616,Plzen,169858.0,501,57
Karlovarsky,3314.3,297828,Karlovy Vary,49326.0,132,38
Ustecky,5334.6,822826,Usti nad Labem,93248.0,354,59
Liberecky,3163.4,439639,Liberec,103288.0,215,39
Kralovehradecky,4759.0,551421,Hradec Kralove,92891.0,448,48
Pardubicky,4518.9,516149,Pardubice,89638.0,451,38
Vysocina,6795.6,509475,Jihlava,50714.0,704,34
Jihomoravsky,7195.1,1175025,Brno,377028.0,673,49
Olomoucky,5266.9,634718,Olomouc,100154.0,399,30
Zlinsky,3963.0,584676,Zlin,75171.0,307,30
Moravskoslezsky,5427.6,1213311,Ostrava,292681.0,300,42
