Okres,Zkratka,Rozloha,Pocet obyvatel,Pocet obci,Kraj
Benesov,BN,1474.69,99323,114,Stredocesky
Beroun,BE,703.71,96624,85,Stredocesky
Blansko,BK,862.65,107912,116,Jihomoravsky
Brno-mesto,BM,230.22,379466,1,Jihomoravsky
Brno-venkov,BI,1499.0,225514,187,Jihomoravsky
Bruntal,BR,1537.0,89547,67,Moravskoslezsky
Breclav,BV,1038.25,114801,63,Jihomoravsky
Ceska Lipa,CL,1072.91,101962,59,Liberecky
Ceske Budejovice,CB,1638.3,195533,109,Jihocesky
Cesky Krumlov,CK,1614.0,60096,46,Jihocesky
Decin,DC,908.58,126294,52,Ustecky
Domazlice,DO,1051.87,54391,76,Plzensky
Frydek-Mistek,FM,1208.49,212347,72,Moravskoslezsky
Havlickuv Brod,HB,1264.95,93692,120,Vysocina
Hodonin,HO,1099.13,151096,82,Jihomoravsky
Hradec Kralove,HK,891.62,162400,104,Kralovehradecky
Cheb,CH,1045.94,87958,40,Karlovarsky
Chomutov,CV,936.0,121480,44,Ustecky
Chrudim,CR,992.62,103746,108,Pardubicky
Jablonec nad Nisou,JN,438.89,90171,35,Liberecky
Jesenik,JE,718.96,36752,24,Olomoucky
Jicin,JC,886.63,78713,111,Kralovehradecky
Jihlava,JI,1199.32,112415,123,Vysocina
Jindrichuv Hradec,JH,1943.69,89283,106,Jihocesky
Karlovy Vary,KV,1511.0,110052,55,Karlovarsky
Karvina,KI,356.24,240319,17,Moravskoslezsky
Kladno,KD,719.61,164493,100,Stredocesky
Klatovy,KT,1945.69,84614,94,Plzensky
Kolin,KO,747.55,103894,90,Stredocesky
Kromeriz,KM,795.67,103445,79,Zlinsky
Kutna Hora,KH,916.93,75683,88,Stredocesky
Liberec,LI,988.87,173890,59,Liberecky
Litomerice,LT,1032.16,117582,105,Ustecky
Louny,LN,1121.0,85381,70,Ustecky
Melnik,ME,701.08,109354,69,Stredocesky
Mlada Boleslav,MB,1022.83,127592,120,Stredocesky
Most,MO,467.16,106773,26,Ustecky
Nachod,,851.57,107973,78,Kralovehradecky
Novy Jicin,NJ,881.59,149919,54,Moravskoslezsky
Nymburk,NB,846.4,101120,86,Stredocesky
Olomouc,OC,1608.0,233588,97,Olomoucky
Opava,OP,1116.0,173753,77,Moravskoslezsky
Ostrava-mesto,OV,331.53,312104,13,Moravskoslezsky
Pardubice,PU,880.09,172224,112,Pardubicky
Pelhrimov,PE,1290.0,71571,120,Vysocina
Pisek,PI,1127.0,70769,75,Jihocesky
Plzen-jih,PJ,1068.24,68918,99,Plzensky
Plzen-mesto,PM,261.46,188407,15,Plzensky
Plzen-sever,PS,1286.79,80666,98,Plzensky
Praha-vychod,PY,754.91,188384,110,Stredocesky
Praha-zapad,PZ,580.63,151093,79,Stredocesky
Prachatice,PT,1377.0,50230,65,Jihocesky
Prostejov,PV,777.32,107580,97,Olomoucky
Prerov,PR,854.0,126613,105,Olomoucky
Pribram,PB,1562.87,114366,120,Stredocesky
Rakovnik,RA,896.3,54898,83,Stredocesky
Rokycany,RO,657.0,48770,68,Plzensky
Rychnov nad Kneznou,RK,981.78,78424,80,Kralovehradecky
Semily,SM,662.33,71547,64,Liberecky
Sokolov,SO,753.6,85200,38,Karlovarsky
Strakonice,ST,1032.1,69773,112,Jihocesky
Svitavy,SY,1378.56,102866,116,Pardubicky
Sumperk,SU,1313.06,118397,78,Olomoucky
Tabor,TA,1326.0,101363,110,Jihocesky
Tachov,TC,1378.68,52941,51,Plzensky
Teplice,TP,469.27,124472,34,Ustecky
Trutnov,TU,1146.78,115073,75,Kralovehradecky
Trebic,TR,1463.0,109183,167,Vysocina
Uherske Hradiste,UH,991.37,139829,78,Zlinsky
Usti nad Labem,UL,404.44,116916,23,Ustecky
Usti nad Orlici,UO,1267.0,135682,115,Pardubicky
Vsetin,VS,1131.07,140171,59,Zlinsky
Vyskov,VY,869.0,92317,79,Jihomoravsky
Zlin,ZL,1045.26,188987,91,Zlinsky
Znojmo,ZN,1590.5,113462,144,Jihomoravsky
Zdar nad Sazavou,ZR,1578.51,117164,174,Vysocina
